bin,confidence,accuracy,count
0,0.031448327004909515,0.027165157720446587,18001
1,0.14232729375362396,0.1604509949684143,3459
2,0.24454398453235626,0.32680901885032654,1686
3,0.3466021418571472,0.40437158942222595,1098
4,0.44701236486434937,0.5439330339431763,717
5,0.5455343127250671,0.641791045665741,469
6,0.6453392505645752,0.7013422846794128,298
7,0.746833860874176,0.7677724957466125,211
8,0.8459450006484985,0.8986175060272217,217
9,0.9524087905883789,0.9693877696990967,294
