tag,tag_group,train_count,val_count,test_count,ap,pr_auc,roc_auc,best_duration,best_pooling,drop_noise_ap,drop_stretch_ap,drop_compression_ap,mean_ap_drop,co_occurrence_degree,co_occurrence_entropy,max_prevalence_shift,duration_gain_long_short,inferred_failure_reason
male vocal,vocal,803,107,92,0.6451069581539775,0.6394947155462071,0.931722286152666,2.0,max,0.1279763273740445,0.0654747621571604,0.1197711341553743,0.1044074078955264,8,0.7964453,0.06852257663824335,0.3013208600480676,cooccurrence_ambiguity;robustness_fragility;context_length_dependence
male,vocal,1032,136,111,0.6637655762497463,0.6592915926001647,0.9288632540254746,0.5,max,0.0808204345754578,0.0428706519234107,0.0994749921521012,0.0743886928836566,7,0.82262015,0.10403434119776167,0.10678480836180448,cooccurrence_ambiguity;context_length_dependence
vocal,vocal,1401,177,151,0.6750886976674028,0.6731358712789598,0.8919397116644823,0.5,max,0.0560626249481055,0.0069124593566274,0.0540037508703843,0.0389929450583724,4,0.8812462,0.10218492709914351,0.1296993736902725,cooccurrence_ambiguity;context_length_dependence
fast,mood,1882,228,196,0.6912285745598874,0.6889877926230557,0.8629253857535405,8.0,max,0.0248650745515069,0.0146518925060166,0.0553986103981842,0.0316385258185692,3,0.86031854,0.13246993914464922,0.10078223728956703,cooccurrence_ambiguity;context_length_dependence
dance,genre,521,71,57,0.6972422315324076,0.6848127526934757,0.9754501878481668,8.0,max,-0.0054954045907485,0.0093918346931081,0.0043670933126208,0.0027545078049934,5,0.6949279,0.09278843351476085,0.0621547768045041,mixed_or_label_noise
synth,instrument,1369,175,173,0.7102886031028525,0.7077381818946066,0.920900610824376,1.0,mean,0.0512137400344432,0.0185449064435462,0.0652079424724786,0.0449888629834893,4,0.79188913,0.05266631667746302,-0.01458196732993089,cooccurrence_ambiguity
piano,instrument,1694,184,178,0.7148921972081864,0.7125254524020492,0.898357461024499,8.0,max,0.078669887996246,0.0195912131569313,0.104674643277828,0.0676452481436685,2,0.82710904,0.12899650099459337,0.13568057270391598,cooccurrence_ambiguity;context_length_dependence
cello,instrument,478,48,49,0.7178471385300028,0.7041181790189476,0.9737927478948272,1.0,max,0.1008282227612495,-0.0274271309870071,0.069208582555466,0.0475365581099028,4,0.6294229,0.19475348441709062,0.08307490350028512,context_length_dependence
drums,instrument,2069,274,255,0.7312204913383401,0.7290351910375589,0.9043604651162792,2.0,max,0.0130882430118228,0.0065177876042118,0.0295805260966194,0.016395518904218,2,0.87281346,0.06195361169144231,0.10963931934717985,cooccurrence_ambiguity;context_length_dependence
loud,mood,881,94,111,0.738762580720193,0.7343358118118755,0.9465973534971645,4.0,max,-0.0087183756086629,0.0117259618056888,0.0790430453442807,0.0273502105137688,3,0.8391035,0.1444065808522884,0.013936035894477117,cooccurrence_ambiguity
slow,mood,2816,371,360,0.7765660076744672,0.7755717939246634,0.8572041429184286,8.0,max,0.0350720056542651,0.0030773582779638,0.083384848443148,0.0405114041251256,2,0.91064155,0.06492230364482743,0.15183254735223684,cooccurrence_ambiguity;context_length_dependence
female,vocal,1196,148,130,0.7825461318727249,0.7746691614434311,0.9550341550341552,4.0,max,0.1620157469101014,0.0598375883343819,0.1469791569997335,0.1229441640814056,5,0.8448109,0.09455879755879038,0.16700101646542687,cooccurrence_ambiguity;robustness_fragility;context_length_dependence
electronic,genre,2050,270,199,0.7926795275727408,0.7905648964754977,0.941704550672728,8.0,max,0.0501154592052811,0.0132581093532981,0.0804080188946448,0.0479271958177414,4,0.79458475,0.19137475056716347,0.04246659562564181,cooccurrence_ambiguity
strings,instrument,2176,234,319,0.7947141300031562,0.7935031897383683,0.903915818526824,8.0,max,0.0534054617627206,0.0170143172963659,0.0786512129707576,0.0496903306766147,4,0.7893354,0.221180498189107,0.07505564709867207,cooccurrence_ambiguity
beat,production,1554,206,146,0.7955697534178272,0.793580876590051,0.9533386327503974,4.0,max,0.009997826156504,0.0080554796353607,-0.0138198801659933,0.0014111418752904,4,0.79348505,0.21738182627026215,0.10869209652602552,cooccurrence_ambiguity;context_length_dependence
metal,genre,407,51,47,0.809207444541468,0.797550896482059,0.986984126984127,1.0,max,0.0242017447126027,0.0422550600754206,-0.035268604039821,0.0103960669160674,3,0.60676146,0.03805214596764506,-0.005912658356294842,mixed_or_label_noise
harpsichord,instrument,915,77,101,0.8304562952264269,0.8272303369932186,0.9711202938475666,2.0,max,0.0793676528708288,0.0241524318401811,0.0995869390294823,0.0677023412468307,2,0.6883766,0.3251843498069077,0.06308302976793456,mixed_or_label_noise
choral,vocal,387,64,39,0.8310987411505649,0.8138211901974919,0.9896889499914074,8.0,max,-0.0199949246261089,0.0594434647798218,0.0590016245103652,0.0328167215546927,3,0.65946376,0.3261249265645101,0.02034587095389062,mixed_or_label_noise
violin,instrument,1483,136,207,0.8452483635262172,0.8406238099899264,0.9650633918926602,2.0,max,0.062973746964542,0.0195191766595506,0.12162223993782,0.0680383878539709,2,0.7441297,0.2646175664881648,0.061612395451875246,cooccurrence_ambiguity
ambient,genre,1506,206,244,0.8459812316234742,0.8443503397935785,0.9622027403013282,8.0,max,0.0892667120342194,0.0121536179448177,0.1756063848151876,0.0923422382647416,3,0.82475495,0.3496243836940196,0.19714615534344115,cooccurrence_ambiguity;robustness_fragility;context_length_dependence
classical,genre,3501,365,406,0.8588006438606904,0.8580213709201937,0.9217615717615716,2.0,max,0.0133356106246199,-0.0004223296197113,0.0304668339636901,0.0144600383228662,2,0.80903363,0.1639808337340185,0.043896439078963345,cooccurrence_ambiguity
techno,genre,2380,307,267,0.863414652909591,0.8622168104233014,0.959478554172934,8.0,max,0.0104224129939125,0.004572446571266,0.0270817874380836,0.0140255490010874,4,0.76400864,0.06549338325782306,0.04727285631728584,cooccurrence_ambiguity
choir,vocal,530,89,69,0.8674015857005738,0.8593745084700534,0.9705882352941176,0.5,max,0.0078122383864922,0.005248546470122,0.0351873627295621,0.0160827158620588,3,0.6958577,0.3465719931158746,-0.0127280138042839,mixed_or_label_noise
guitar,instrument,3829,513,510,0.914859409368338,0.9145511975835224,0.929358613538735,4.0,max,0.0613648718299304,0.0114583708545852,0.0945503647900567,0.0557912024915241,0,0.90390754,0.10951424402336918,0.022310220910601863,cooccurrence_ambiguity
rock,genre,1893,224,254,0.9198144006402362,0.9192111633945702,0.9711700624458728,8.0,max,0.0097027386557632,0.0069528094967933,0.0455136893628234,0.0207230791717933,2,0.80628467,0.1177152406581865,0.008646787188997807,cooccurrence_ambiguity
opera,genre,1040,136,120,0.9698124725373092,0.9638132661560048,0.9965568994438068,1.0,max,0.0916198308301997,-0.0048600365971859,0.0329862114531439,0.0399153352287192,3,0.79049045,0.04862701516516399,0.09795128527884334,cooccurrence_ambiguity;context_length_dependence
