genre,f1_val,f1_test,support_test
classical,0.9,0.9523809523809523,10
jazz,0.8421052631578947,0.9473684210526315,10
country,0.5,0.8,10
disco,0.7619047619047619,0.8,10
blues,0.6,0.7619047619047619,10
metal,0.9,0.7,10
hiphop,0.9,0.6956521739130435,10
pop,0.7777777777777778,0.6666666666666666,10
reggae,0.7,0.5555555555555556,10
rock,0.6363636363636364,0.35294117647058826,10
