setting,duration,pooling,pooling_display,tag,ap,pr_auc,roc_auc,support_pos_eval,train_count,setting_display
dur_1.0_attention,1.0,attention,heuristic_attention,cello,0.6354984176374513,0.6239126122076392,0.9651142808042619,23,478,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,cello,0.7178471385300028,0.7041181790189476,0.9737927478948273,23,478,1.0s_max
dur_1.0_mean,1.0,mean,mean,cello,0.6468011383078747,0.6337403379398694,0.965801684138168,23,478,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,cello,0.6323199224404553,0.6197927291910277,0.963911324969926,23,478,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,cello,0.6929550411722813,0.6763720058010668,0.9729334937274445,23,478,2.0s_max
dur_2.0_mean,2.0,mean,mean,cello,0.6350108604062037,0.6216031563990791,0.9646846537205706,23,478,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,cello,0.6227080179631359,0.6073486010096996,0.9628802199690669,23,478,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,cello,0.6707563404394734,0.6594436510023045,0.9664031620553359,23,478,4.0s_max
dur_4.0_mean,4.0,mean,mean,cello,0.6264973605581527,0.6202579950835552,0.963567623302973,23,478,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,cello,0.6258159978802534,0.6149796546507192,0.9628802199690669,23,478,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,cello,0.6521706000956988,0.6410007786718104,0.9598728303832273,23,478,8.0s_max
dur_8.0_mean,8.0,mean,mean,cello,0.6248565138441192,0.613252183411132,0.9627942945523286,23,478,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,choir,0.8551020003236187,0.8484271580546865,0.9688057040998218,34,530,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,choir,0.8674015857005738,0.8593745084700534,0.9705882352941176,34,530,0.5s_max
dur_0.5_mean,0.5,mean,mean,choir,0.8555442785542199,0.8500594323351337,0.9694592988710635,34,530,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,choir,0.8578786294492212,0.8524223790692803,0.9685680332739156,34,530,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,choir,0.8566719765238732,0.8519139774214952,0.9613784907902555,34,530,1.0s_max
dur_1.0_mean,1.0,mean,mean,choir,0.8587196927137928,0.8535304061256075,0.9687462863933453,34,530,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,choir,0.857630115982762,0.8545254460371081,0.9683303624480095,34,530,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,choir,0.8467958183040413,0.8414802578019667,0.9603089720736779,34,530,2.0s_max
dur_2.0_mean,2.0,mean,mean,choir,0.8590605296026343,0.855272809689567,0.968627450980392,34,530,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,choir,0.8573822571447494,0.8535185869249955,0.9681521093285799,34,530,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,choir,0.836993465279002,0.8330797209179338,0.9575757575757576,34,530,4.0s_max
dur_4.0_mean,4.0,mean,mean,choir,0.8575009903774777,0.8541051225661467,0.9679144385026738,34,530,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,choir,0.8574377476497829,0.8524848998765759,0.9686274509803923,34,530,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,choir,0.842816264749936,0.8382648876123375,0.961556743909685,34,530,8.0s_max
dur_8.0_mean,8.0,mean,mean,choir,0.8563774763684995,0.8513795868609427,0.9677956030897207,34,530,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,choral,0.8062481961267828,0.7871982408401085,0.9914074583261729,23,387,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,choral,0.7392520683576007,0.7076204814131675,0.986681560405568,23,387,0.5s_max
dur_0.5_mean,0.5,mean,mean,choral,0.8107528701966743,0.7898366799922246,0.9914933837429112,23,387,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,choral,0.801539214186764,0.7793588460559366,0.9900326516583605,23,387,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,choral,0.776573254559861,0.7571687619869916,0.9873689637394741,23,387,1.0s_max
dur_1.0_mean,1.0,mean,mean,choral,0.8032265900472499,0.7866878430185565,0.9903763533253136,23,387,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,choral,0.8163671685650663,0.8037170665583429,0.9902045024918371,23,387,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,choral,0.7839657828581864,0.76437022531637,0.9872830383227359,23,387,2.0s_max
dur_2.0_mean,2.0,mean,mean,choral,0.8193986837240697,0.7984519307052695,0.9902045024918371,23,387,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,choral,0.818126028083334,0.805059684967228,0.9905482041587902,23,387,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,choral,0.7816960306011234,0.760956891931136,0.9885719195738099,23,387,4.0s_max
dur_4.0_mean,4.0,mean,mean,choral,0.8146298612604955,0.79565111802183,0.990462278742052,23,387,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,choral,0.8195742669159138,0.8010268383058538,0.990805980409005,23,387,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,choral,0.8310987411505649,0.8138211901974919,0.9896889499914074,23,387,8.0s_max
dur_8.0_mean,8.0,mean,mean,choral,0.8160169546629493,0.7973158150296131,0.9907200549922667,23,387,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,classic,0.42622658599798957,0.40918609464278305,0.8925645872715817,46,567,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,classic,0.5255326066424171,0.5130587519846883,0.8939148438203258,46,567,0.5s_max
dur_0.5_mean,0.5,mean,mean,classic,0.4284978639077897,0.41496959693130414,0.8911693221712125,46,567,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,classic,0.4410579630728298,0.4248028407901274,0.905437033036277,46,567,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,classic,0.5023048079187544,0.48505960758980954,0.9055720586911514,46,567,1.0s_max
dur_1.0_mean,1.0,mean,mean,classic,0.4396826262472033,0.42398218979084157,0.9042218021424071,46,567,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,classic,0.440649453445009,0.42664114147832866,0.9051219731749032,46,567,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,classic,0.5272147196881201,0.5127600854926735,0.9116032046088757,46,567,2.0s_max
dur_2.0_mean,2.0,mean,mean,classic,0.43659395938220463,0.42076036794004873,0.9043568277972815,46,567,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,classic,0.44758250410413675,0.43306267227848,0.9057070843460258,46,567,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,classic,0.55488274183725,0.5436208460225049,0.9156089657034836,46,567,4.0s_max
dur_4.0_mean,4.0,mean,mean,classic,0.4399136213885596,0.423114142440025,0.9042668106940319,46,567,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,classic,0.4439683592034402,0.42684337677808054,0.9052569988297777,46,567,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,classic,0.5560891454848497,0.5470346307203496,0.9174093077684761,46,567,8.0s_max
dur_8.0_mean,8.0,mean,mean,classic,0.43811944149348686,0.4243645240309657,0.9035466738680349,46,567,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,classical,0.8137914810584856,0.812185619123955,0.9115218115218116,165,3501,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,classical,0.8322824103013838,0.8312086789652531,0.8956210456210456,165,3501,0.5s_max
dur_0.5_mean,0.5,mean,mean,classical,0.8123887586884473,0.8108882337646203,0.9113220113220113,165,3501,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,classical,0.8268516316454316,0.8255706455195542,0.9159507159507159,165,3501,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,classical,0.8489562501772832,0.8482126774411022,0.9131035631035631,165,3501,1.0s_max
dur_1.0_mean,1.0,mean,mean,classical,0.8250977652589897,0.8239948853762395,0.9154512154512154,165,3501,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,classical,0.8298819662784752,0.8289098779553402,0.9164002664002664,165,3501,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,classical,0.8588006438606904,0.8580213709201937,0.9217615717615717,165,3501,2.0s_max
dur_2.0_mean,2.0,mean,mean,classical,0.8284209066288186,0.8273915749085397,0.9165168165168165,165,3501,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,classical,0.8316759290729444,0.8305139513294115,0.9164335664335664,165,3501,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,classical,0.8580940907340145,0.8574266213118528,0.9216949716949717,165,3501,4.0s_max
dur_4.0_mean,4.0,mean,mean,classical,0.8306962239975293,0.8296036459379441,0.9167499167499167,165,3501,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,classical,0.8340767657182133,0.8330453808327273,0.9169497169497169,165,3501,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,classical,0.8562851977674106,0.8553712806054583,0.9213619713619713,165,3501,8.0s_max
dur_8.0_mean,8.0,mean,mean,classical,0.8332462384958479,0.832045153604692,0.916983016983017,165,3501,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,country,0.48726545745839234,0.46793499155100426,0.9519904931669638,34,421,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,country,0.45852029622370283,0.4401496750266941,0.9418894830659537,34,421,0.5s_max
dur_0.5_mean,0.5,mean,mean,country,0.4756309515867656,0.45796952652800904,0.9494949494949495,34,421,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,country,0.5161364318243884,0.49869919733360074,0.9579322638146167,34,421,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,country,0.5122382685188422,0.4895580411903022,0.9455733808674985,34,421,1.0s_max
dur_1.0_mean,1.0,mean,mean,country,0.5101591928682548,0.4918013609689562,0.9568627450980393,34,421,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,country,0.5274877239205823,0.5083786545181673,0.9582293523469995,34,421,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,country,0.48645034652124375,0.4684058636192568,0.9540106951871657,34,421,2.0s_max
dur_2.0_mean,2.0,mean,mean,country,0.5289980184591476,0.5113454867604845,0.9581105169340463,34,421,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,country,0.5346026061183654,0.5173622859361419,0.9588829471182412,34,421,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,country,0.5178393199463025,0.4972138091210303,0.960190136660725,34,421,4.0s_max
dur_4.0_mean,4.0,mean,mean,country,0.5287067398932501,0.508138749469026,0.9581105169340463,34,421,4.0s_mean
