condition,map,macro_pr_auc,macro_roc_auc
clean,0.5950453399424316,0.5859730147874181,0.9019607042257549
noise_snr20,0.5478617322503446,0.5395797050779674,0.8801611925791331
time_stretch_1p1,0.5755427675062064,0.5663645105047193,0.8949992934295661
compression_gamma0p6,0.5275899495077669,0.5186834659260844,0.8688536665709001
